Gesture Number,Duration (s),Timestamp,Severity Level
11,0.028091,04-11-2025 23:09,0
12,0.058325,04-11-2025 23:10,0
13,0.058503,04-11-2025 23:10,0
1,0.0292,04-11-2025 23:12,1
2,0.028232,04-11-2025 23:12,1
3,0.085281,04-11-2025 23:12,1
4,0.028274,04-11-2025 23:12,1
5,0.086327,04-11-2025 23:12,1
6,0.028887,04-11-2025 23:12,1
7,0.028908,04-11-2025 23:12,1
8,0.057207,04-11-2025 23:12,1
9,0.056617,04-11-2025 23:12,1
10,0.028119,04-11-2025 23:12,1
11,0.059486,04-11-2025 23:12,1
12,0.059075,04-11-2025 23:13,1
13,0.058324,04-11-2025 23:13,1
14,0.028974,04-11-2025 23:13,1
15,0.057301,04-11-2025 23:13,1
1,0.152347,04-11-2025 23:13,1
2,0.087276,04-11-2025 23:13,1
3,0.085517,04-11-2025 23:13,1
4,0.085417,04-11-2025 23:13,1
5,0.115729,04-11-2025 23:13,1
6,0.085123,04-11-2025 23:13,1
7,0.12347,04-11-2025 23:13,1
8,0.084308,04-11-2025 23:13,1
9,0.085352,04-11-2025 23:13,1
10,0.086004,04-11-2025 23:13,1
11,0.085304,04-11-2025 23:13,1
12,0.093414,04-11-2025 23:13,1
13,0.056328,04-11-2025 23:13,1
14,0.085156,04-11-2025 23:13,1
15,0.121402,04-11-2025 23:13,1
1,0.086089,04-11-2025 23:14,0
2,0.029083,04-11-2025 23:14,0
3,0.028778,04-11-2025 23:14,0
4,0.014805,04-11-2025 23:14,0
5,0.028889,04-11-2025 23:14,0
6,0.028598,04-11-2025 23:14,0
7,0.02879,04-11-2025 23:14,0
8,0.028736,04-11-2025 23:14,0
9,0.0289,04-11-2025 23:14,0
10,0.030633,04-11-2025 23:14,0
11,0.028431,04-11-2025 23:14,0
12,0.057144,04-11-2025 23:14,0
13,0.028728,04-11-2025 23:14,0
1,0.041411,04-11-2025 23:14,1
2,0.037756,04-11-2025 23:14,1
3,0.086959,04-11-2025 23:14,1
1,0.029508,04-11-2025 23:15,1
2,0.115059,04-11-2025 23:15,1
3,0.115066,04-11-2025 23:15,1
4,0.089235,04-11-2025 23:15,1
5,0.085609,04-11-2025 23:15,1
6,0.056594,04-11-2025 23:15,1
7,0.087037,04-11-2025 23:15,1
8,0.086222,04-11-2025 23:15,1
9,0.116226,04-11-2025 23:15,1
10,0.085519,04-11-2025 23:15,1
11,0.087514,04-11-2025 23:15,1
12,0.115101,04-11-2025 23:15,1
1,0.1441,04-11-2025 23:15,1
2,0.093833,04-11-2025 23:15,1
3,0.086651,04-11-2025 23:15,1
4,0.140549,04-11-2025 23:15,1
5,0.141505,04-11-2025 23:15,1
6,0.084786,04-11-2025 23:15,1
7,0.085322,04-11-2025 23:15,1
8,0.084065,04-11-2025 23:15,1
9,0.085219,04-11-2025 23:15,1
10,0.140651,04-11-2025 23:15,1
11,0.084226,04-11-2025 23:15,1
12,0.028288,04-11-2025 23:15,1
13,0.084371,04-11-2025 23:15,1
14,0.085346,04-11-2025 23:15,1
15,0.027238,04-11-2025 23:15,1
16,0.055656,04-11-2025 23:15,1
1,0.123514,04-11-2025 23:16,1
2,0.094593,04-11-2025 23:16,1
3,0.056152,04-11-2025 23:16,1
4,0.085535,04-11-2025 23:16,1
5,0.080384,04-11-2025 23:16,1
6,0.056542,04-11-2025 23:16,1
7,0.056375,04-11-2025 23:16,1
8,0.086217,04-11-2025 23:16,1
9,0.085824,04-11-2025 23:16,1
10,0.05768,04-11-2025 23:16,1
11,0.058185,04-11-2025 23:16,1
12,0.028492,04-11-2025 23:16,1
13,0.096064,04-11-2025 23:16,1
14,0.056117,04-11-2025 23:16,1
15,0.05665,04-11-2025 23:16,1
1,0.349457,04-11-2025 23:16,1
2,0.084819,04-11-2025 23:16,1
3,0.083525,04-11-2025 23:16,1
4,0.055851,04-11-2025 23:16,1
5,0.059988,04-11-2025 23:16,1
6,0.056312,04-11-2025 23:16,1
7,0.086915,04-11-2025 23:16,1
8,0.058741,04-11-2025 23:16,1
9,0.056903,04-11-2025 23:16,1
10,0.085725,04-11-2025 23:16,1
11,0.057181,04-11-2025 23:16,1
12,0.083934,04-11-2025 23:16,1
13,0.08498,04-11-2025 23:16,1
14,0.085307,04-11-2025 23:16,1
15,0.083862,04-11-2025 23:16,1
1,0.115448,04-11-2025 23:17,0
2,0.057384,04-11-2025 23:17,0
3,0.086324,04-11-2025 23:17,0
